======================================================
                      RUN OVERVIEW                   
======================================================
| Event                                            |  #  |  %   |
[2022-02-08 14:39:19,772] DEBUG      Traverse: [603]
[2022-02-08 14:39:19,772] DEBUG      Traverse: [603]
[2022-02-08 14:39:19,772] DEBUG      Traverse: [603]
[2022-02-08 14:39:19,772] DEBUG      Traverse: [603]
[2022-02-08 14:39:19,772] DEBUG      Traverse: [603]
[2022-02-08 14:39:19,772] DEBUG      Traverse: [603]
[2022-02-08 14:39:19,772] DEBUG      Traverse: [603]
[2022-02-08 14:39:19,772] DEBUG      Traverse: [603]
[2022-02-08 14:39:19,772] DEBUG      Traverse: [603]
[2022-02-08 14:39:19,772] DEBUG      Traverse: [603]
[2022-02-08 14:39:19,772] DEBUG      Traverse: [603]
[2022-02-08 14:39:19,772] DEBUG      Traverse: [603]
[2022-02-08 14:39:19,772] DEBUG      Traverse: [603]
[2022-02-08 16:57:51,480] DEBUG      Traverse: [603]
[2022-02-08 17:05:28,722] DEBUG      Traverse: [650660]
[2022-02-08 17:05:28,722] DEBUG      Traverse: [650660]
[2022-02-08 17:24:56,889] DEBUG      Traverse: [685, 686]
[2022-02-08 18:47:50,580] DEBUG      Traverse: [610620]
[2022-02-08 19:32:47,734] DEBUG      Traverse: [610620]
[2022-02-08 19:45:47,130] DEBUG      Traverse: [647]
[2022-02-08 19:56:40,241] DEBUG      Traverse: [676]
[2022-02-08 20:03:26,413] DEBUG      Traverse: [614]
[2022-02-08 20:05:59,804] DEBUG      Traverse: [685, 686]
[2022-02-08 20:09:25,202] DEBUG      Traverse: [685, 686]
[2022-02-08 20:33:56,396] DEBUG      Traverse: [602]
[2022-02-08 21:10:23,937] DEBUG      Traverse: [676]
[2022-02-08 21:22:11,793] DEBUG      Traverse: [676]
[2022-02-09 00:36:50,938] DEBUG      Traverse: [605]
[2022-02-09 09:40:24,544] DEBUG      Traverse: [603]
[2022-02-09 09:42:12,381] DEBUG      Traverse: [603]
[2022-02-09 10:15:38,162] DEBUG      Traverse: [603]
[2022-02-09 10:17:29,889] DEBUG      Traverse: [672, 670]
[2022-02-09 11:14:13,310] DEBUG      Traverse: [605]
[2022-02-09 11:17:16,979] DEBUG      Traverse: [675]



==========================================
   LAST 30 LOG LINES BEFORE FAILED GAME  
==========================================


1) ========== [2022-02-08 11:36:10,897] DEBUG      Traverse: [685, 686]
[2022-02-08 11:36:14,680] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 11:36:14,698] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 11:36:14,698] DEBUG      Pather: taking a random guess towards (226, -20)
[2022-02-08 11:36:15,221] INFO       CS Trash: Layout B: clearing third hall/3
[2022-02-08 11:36:15,221] DEBUG      Kill trash at location: entrance2_04
[2022-02-08 11:36:24,827] DEBUG      CS Trash: looping to PENTAGRAM
[2022-02-08 11:36:24,827] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:36:25,995] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:36:26,996] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:36:27,978] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:36:28,945] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:36:29,309] DEBUG      Found Match: DIA_NEW_PENT_1 (85.2% confidence)
[2022-02-08 11:36:29,310] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:36:30,280] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:36:31,288] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:36:32,401] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:36:33,495] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:36:34,506] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:36:35,427] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:36:36,434] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:36:37,406] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:36:38,356] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:36:39,462] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:36:40,463] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:36:41,422] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:36:42,363] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:36:43,342] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:36:44,780] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 11:36:44,792] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 11:36:47,412] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

2) ========== [2022-02-08 11:45:54,664] DEBUG      Traverse: [603]
[2022-02-08 11:45:30,525] DEBUG      Traverse: [600]
[2022-02-08 11:45:31,543] DEBUG      CS Trash: Calibrated at WAYPOINT
[2022-02-08 11:45:39,570] DEBUG      Traverse: [603]
[2022-02-08 11:45:42,856] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 11:45:44,773] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 11:45:44,785] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 11:45:44,786] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 11:45:45,328] DEBUG      Kill trash at location: rof_01
[2022-02-08 11:45:54,664] DEBUG      Traverse: [603]
[2022-02-08 11:45:58,098] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 11:45:59,974] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 11:45:59,993] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 11:45:59,993] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 11:46:00,509] DEBUG      CS Trash: Teleporting to CS ENTRANCE
[2022-02-08 11:46:00,509] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 11:46:01,347] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 11:46:02,131] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 11:46:02,926] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 11:46:03,733] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 11:46:04,542] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 11:46:05,344] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 11:46:06,133] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 11:46:06,932] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 11:46:07,742] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 11:46:08,563] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 11:46:09,510] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 11:46:10,379] DEBUG      Waiting for templates: ['DIABLO_CS_ENTRANCE_0', 'DIABLO_CS_ENTRANCE_2', 'DIABLO_CS_ENTRANCE_3']
[2022-02-08 11:46:11,727] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 11:46:11,743] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 11:46:14,311] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

3) ========== [2022-02-08 11:56:22,512] DEBUG      Traverse: [676]
[2022-02-08 11:56:22,512] DEBUG      Traverse: [676]
[2022-02-08 11:56:28,595] DEBUG      Pather: taking a random guess towards (-300, -353)
[2022-02-08 11:56:43,143] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 11:56:43,165] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 11:56:43,165] DEBUG      Pather: taking a random guess towards (348, -353)
[2022-02-08 11:56:43,682] DEBUG      CS Trash: Layout A: clearing third hall - 1/1 - location: entrance1_04
[2022-02-08 11:56:53,465] DEBUG      CS Trash: looping to PENTAGRAM
[2022-02-08 11:56:53,465] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:56:54,711] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:56:55,720] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:56:56,713] DEBUG      Teleport cancel detected. Try same teleport action again. (0.0894)
[2022-02-08 11:56:57,270] DEBUG      Teleport cancel detected. Try same teleport action again. (0.0873)
[2022-02-08 11:56:57,870] DEBUG      Teleport cancel detected. Try same teleport action again. (0.0880)
[2022-02-08 11:56:58,451] DEBUG      Teleport cancel detected. Try same teleport action again. (0.0883)
[2022-02-08 11:56:58,985] DEBUG      Teleport cancel detected. Try same teleport action again. (0.0806)
[2022-02-08 11:56:58,986] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:56:59,964] DEBUG      Teleport cancel detected. Try same teleport action again. (0.0916)
[2022-02-08 11:57:00,487] DEBUG      Teleport cancel detected. Try same teleport action again. (0.0842)
[2022-02-08 11:57:01,047] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:57:02,054] DEBUG      Teleport cancel detected. Try same teleport action again. (0.0920)
[2022-02-08 11:57:02,619] DEBUG      Teleport cancel detected. Try same teleport action again. (0.0878)
[2022-02-08 11:57:03,168] DEBUG      Teleport cancel detected. Try same teleport action again. (0.0842)
[2022-02-08 11:57:03,754] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:57:04,770] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:57:05,780] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:57:06,788] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:57:07,776] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 11:57:09,191] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 11:57:09,205] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 11:57:12,011] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

4) ========== [2022-02-08 12:13:26,716] DEBUG      Traverse: [665]
[2022-02-08 12:12:49,583] DEBUG      Traverse: [665]
